,Down,Field Section,Timeout Used,T-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11
0,1.0,1.0,0.0,0.008807040299342983,0.8488747918665913,0.14231498036375212,3.1874703126932857e-06,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,1.0,0.025609465437982697,0.7611829165484704,0.2130077989915523,0.00019981885838882274,1.6360579557783694e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,2.0,0.0,0.00017024921497417011,0.043829747719676224,0.5236040486705686,0.4120471893745604,0.0203050237984137,4.3737891005424245e-05,3.3307931968096227e-09,8.215650382226158e-15,0.0,0.0,0.0,0.0
3,1.0,2.0,1.0,0.001548775537964465,0.049533640466741476,0.3268147361960068,0.4664369097861819,0.14591695308753194,0.009622537558442112,0.00012613393278093632,3.1329135619095894e-07,1.429824036947025e-10,1.176836406102666e-14,0.0,0.0
4,1.0,3.0,0.0,8.246401240996415e-06,0.0020337223608905513,0.07353537047653595,0.4246918620944641,0.4243454331238997,0.07335209930617925,0.002025069990973516,8.19165609999839e-06,4.5893708833233404e-09,3.4505731605349865e-13,0.0,0.0
5,1.0,3.0,1.0,0.0018664187957787121,0.01834470965270653,0.09506892940036113,0.2484797971042903,0.32842880725564516,0.21971230208458548,0.07430323933354788,0.012664985775136417,0.0010835077538794424,4.6308233673686416e-05,9.84198057385477e-07,1.0358405799770765e-08
6,1.0,4.0,0.0,3.1506577261071064e-07,8.67584695682285e-05,0.005682530575611961,0.09136996734379964,0.37491089654472,0.4044748319316977,0.11495133281590264,0.008372383069298106,0.00015033991199919772,6.436297657064216e-07,6.417174569506301e-10,1.467714838554457e-13
7,1.0,4.0,1.0,0.00048236722812835804,0.004577952798054831,0.027622751746096942,0.09999695887579158,0.2174841417175829,0.28443410121321994,0.22376419095822364,0.10585896496602609,0.03008940202615973,0.00513170242026173,0.0005242517964758608,3.202140384972463e-05
8,1.0,5.0,0.0,3.6780492879036212e-09,1.6814717229270397e-06,0.00022141882113067845,0.008541856548770366,0.09878341806473459,0.3510587304517169,0.39030647368506344,0.13598855715494262,0.01461999077882059,0.00047334983468294567,4.507112453255857e-06,1.2388209569280662e-08
9,1.0,5.0,1.0,0.0002938403102332678,0.0020454723900017536,0.010887215298275122,0.0404043082387642,0.10460059393217172,0.18897187024028073,0.23829853441508742,0.20977263388112444,0.12890101947587762,0.05527859041512173,0.016538847052982808,0.0034506888906206123
10,1.0,6.0,0.0,1.7687359086502923e-11,1.5497688446328336e-08,4.3024904649464425e-06,0.00038253051081150536,0.01105723756416324,0.10586331657728869,0.34214476167661684,0.3782178925076304,0.14318174372480763,0.018355035915997298,0.0007822411692849363,1.0873750018070005e-05
11,1.0,6.0,1.0,4.9754919339492586e-05,0.0004385925099273007,0.0029523863060077864,0.014079175114968801,0.04758572723534833,0.11403615444853756,0.19382270405583252,0.23369258798690068,0.19989085802107898,0.1212897138297212,0.05219881545053795,0.015928582553629833
12,1.0,7.0,0.0,1.3670302208816006e-14,3.105694855820162e-11,2.2898269384965232e-08,5.520003528241791e-06,0.00043973126104501276,0.011742147677332358,0.10694448321448956,0.3380618235113952,0.3753648236870972,0.1465741312021469,0.01992548781657033,0.0009272416578153253
13,1.0,7.0,1.0,2.5450502684377727e-08,1.191616902346915e-06,3.3384790820169425e-05,0.0005538000817740817,0.00545020929447832,0.03188421893676722,0.1110722990870186,0.23073511148063458,0.2860803965554562,0.2117619713886878,0.09354648203631277,0.024637524769847707
14,1.0,8.0,0.0,5.264463483780103e-18,2.951769413578631e-14,5.503434270300435e-11,3.429790996350815e-08,7.197741927170737e-06,0.0005138954684475472,0.01265313277556206,0.10919847182120947,0.33566509575216014,0.37152792044408633,0.14823344351838375,0.0211237157270866
15,1.0,8.0,1.0,2.136108976916852e-05,0.00012351701606671742,0.0006539402768967123,0.0027911029231657957,0.009604760013964922,0.02665087311591216,0.05963292385036417,0.10760671985435222,0.15660044774867005,0.1838065329145832,0.17400000713774133,0.13284826791919968
16,1.0,9.0,0.0,1.1567051209915128e-22,2.4320901040321233e-18,1.6490909390991184e-14,3.619672008829268e-11,2.5857268531181343e-08,6.057373610645454e-06,0.0004703244955738494,0.012277648561275197,0.10963262605850116,0.3407012911547904,0.37283135997301836,0.14381562076758614
17,1.0,9.0,1.0,1.360711979391333e-10,8.076970209354057e-09,3.129232556034278e-07,7.836292187829542e-06,0.00012698327411713218,0.0013330242934965597,0.009075503731651904,0.040114186872971094,0.11521603878100364,0.21518893704465203,0.26146291460523885,0.20670203510169805
18,1.0,10.0,0.0,4.055772074506796e-28,3.678211000762941e-23,1.0307898821516054e-18,8.951655835382339e-15,2.418482536088186e-11,2.044113266979094e-08,5.448158683653902e-06,0.0004631209103804107,0.012750611162015825,0.11587465813530409,0.3542913926903971,0.369149543642445
19,1.0,10.0,1.0,1.6421674539434876e-32,7.637512694702663e-27,9.523015552859106e-22,3.191964425810431e-17,2.886942911265681e-13,7.083743904522933e-10,4.7532378630941295e-07,8.826174843034634e-05,0.004614875552307864,0.06956946750501244,0.31068582639152864,0.4200696633096736
20,2.0,1.0,0.0,0.013249365802041614,0.8258459021646176,0.1608914049095086,1.3327123769002469e-05,6.317169010117141e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2.0,1.0,1.0,0.005537775026519407,0.7959001923849265,0.19855054604286426,1.148654567728613e-05,1.2545520178264269e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2.0,2.0,0.0,0.00022176604619597676,0.04606045577394168,0.5128155618984278,0.4170159912351482,0.023816767459631905,6.944912339779119e-05,8.463217016085878e-09,3.963496197911809e-14,0.0,0.0,0.0,0.0
23,2.0,2.0,1.0,0.0036218188919000414,0.0860602560041543,0.41031792510394566,0.4103179251039457,0.08606025600415423,0.003593709696897096,2.8070014326253556e-05,3.917118118756946e-08,9.495071395804189e-12,4.440892098500626e-16,0.0,0.0
24,2.0,3.0,0.0,1.0555449116937308e-05,0.0022318180900379233,0.07397741565040372,0.4157826416130804,0.42586526152362936,0.07959130923197011,0.002528382132713336,1.2606959640448778e-05,9.348408269715947e-09,9.995337890700284e-13,0.0,0.0
25,2.0,3.0,1.0,0.001513022495945159,0.0160947452636532,0.08865280978845405,0.2429493498839212,0.3322389045428172,0.2269504965152116,0.07734475167369159,0.013109346505462693,0.001100154740201531,4.54873309477799e-05,9.220914110041889e-07,9.124272781768639e-09
26,2.0,4.0,0.0,1.878123022235126e-07,6.396075017558471e-05,0.004897422039627767,0.08724521844983789,0.3774713393035006,0.41035043289842493,0.11234541292058875,0.007508281849155196,0.00011733020064241817,4.1345516332835786e-07,3.2052749343591813e-10,5.384581669432009e-14
27,2.0,4.0,1.0,0.0004589693121705883,0.004471658195014128,0.027459386481970875,0.10048794961507346,0.21946385225026116,0.2863176945998184,0.2232110035202438,0.10395093200835637,0.028892443520586064,0.004785908111509474,0.0004716294538505972,2.7596201269353138e-05
28,2.0,5.0,0.0,1.6340690563171128e-09,1.0056228918386584e-06,0.00016663228150481712,0.007574916737749867,0.09694896152536368,0.3595723381550187,0.39474322220870633,0.1284939784112722,0.012170539897480848,0.00032599461340621083,2.4041262821627996e-06,4.7837210859214e-09
29,2.0,5.0,1.0,0.00015725749761130102,0.001448406147103212,0.009391719988783975,0.04011456640160841,0.11295619545496202,0.20981618153157694,0.25719329014810455,0.20807972758349702,0.11109366626802741,0.03912598739575002,0.00908418625058327,0.00138931690590971
30,2.0,6.0,0.0,1.2526635142244137e-12,2.436514253283731e-09,1.3001057349768478e-06,0.00019271545440563198,0.008083316478824222,0.09832274090925096,0.3562817779338412,0.3921956803692527,0.13137334626186714,0.01316185167530215,0.00038407817893004736,3.182844173554855e-06
31,2.0,6.0,1.0,2.9499433697576163e-06,5.946640087223765e-05,0.0007739229841639805,0.00631804772509182,0.032397735203985145,0.10447547282083441,0.21207797896575126,0.27116065352982643,0.2184259443088299,0.11082637606544787,0.03539854394419517,0.007110917849895482
32,2.0,7.0,0.0,1.3396596415886931e-15,5.669353870001742e-12,7.062749933776654e-09,2.61116231399535e-06,0.0002899141790538821,0.00982914946500721,0.10394764180036854,0.3506589467775025,0.3833227479147936,0.1359625269530833,0.015432113620849397,0.0005483531301097022
33,2.0,7.0,1.0,4.334556770072471e-08,1.7168989133638701e-06,4.195060481971414e-05,0.0006238502548106104,0.005655968777708353,0.031313500475576656,0.10602152853337726,0.2197883909503517,0.27918579974400515,0.21735631957547796,0.10368690863601548,0.030284057394575403
34,2.0,8.0,0.0,1.8418805283563212e-19,2.291419041735437e-15,8.50206768002967e-12,9.461096509541544e-09,3.1832589075163053e-06,0.0003276366266627202,0.010484896240835092,0.10649010996068402,0.35067430071428857,0.3800135442405632,0.13566992259374833,0.015747690221783017
35,2.0,8.0,1.0,1.1011343012341178e-11,1.9685342705476455e-09,1.8689271388900663e-07,9.419819757907847e-06,0.00025281330465338044,0.003624978502573587,0.027864551957476964,0.11519963585351868,0.2568387723720717,0.3093223088175298,0.20131740470080073,0.07073986412714228
36,2.0,9.0,0.0,1.1047301025666329e-23,3.7913374765812057e-19,3.960535695611195e-15,1.2642339798648075e-11,1.2399713457766024e-08,3.766662830796476e-06,0.00035842770833218135,0.01085283288767832,0.10662748193137675,0.3468266396831457,0.3787203337538682,0.138993129710964
37,2.0,9.0,1.0,1.2561600218008298e-08,2.788721776253582e-07,4.616214042469941e-06,5.522203745581583e-05,0.0004776253571865814,0.0029881814899812573,0.01352865575568131,0.044339872701335534,0.10523601464632618,0.1809132827556466,0.22531055228162788,0.20329472177304775
38,2.0,10.0,0.0,7.98754122876036e-31,2.3503620732935876e-25,1.8877958082588273e-20,4.1507849248606853e-16,2.508544969853661e-12,4.191496803582358e-09,1.9530546664135847e-06,0.00025704178009464704,0.009732317109218564,0.10859662669578678,0.3664646079389954,0.38082690118039186
39,2.0,10.0,1.0,6.218540207419332e-12,5.081809081960278e-10,2.6927987983816665e-08,9.189424197927995e-07,2.0218201186475135e-05,0.00028711875431985294,0.0026348028138868953,0.015641927219237357,0.06013596615060436,0.14984941741600782,0.2421739339355788,0.2539236209359261
40,3.0,1.0,0.0,0.028865188352349174,0.7987474328310342,0.17231122787834108,7.615092146828761e-05,1.6807222280590395e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,3.0,1.0,1.0,0.016449678158823835,0.7391196191401898,0.24421292852094645,0.0002177740673596773,1.1268030952749086e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,3.0,2.0,0.0,0.0009367115878143354,0.06890820628824246,0.4920217638625512,0.40127388540042797,0.036547481883209,0.0003117342613317975,2.1670497951653545e-07,1.1443734848626264e-11,0.0,0.0,0.0,0.0
43,3.0,2.0,1.0,0.0006229748739101332,0.03973508582266479,0.3551678159946287,0.49260652112545256,0.10838241867402787,0.0034705989239637303,1.4577080761246641e-05,7.504134535984974e-09,4.564126854234019e-13,0.0,0.0,0.0
44,3.0,3.0,0.0,4.3646864574984964e-05,0.0044085375188269785,0.09098976408791191,0.40446490805932467,0.40457197709178555,0.0910628901859728,0.004414544613847049,4.364714661764246e-05,8.440005716536803e-08,3.107913926214678e-11,2.1094237467877974e-15,0.0
45,3.0,3.0,1.0,6.421561864950095e-05,0.004427211736107621,0.07687118664144259,0.34751878630975863,0.42137154395062015,0.13765716236108105,0.011830633387350575,0.00025787882657424266,1.3793996684885457e-06,1.7682122432916003e-09,5.349054532644004e-13,0.0
46,3.0,4.0,0.0,1.7589159795921962e-06,0.00023609814859495813,0.00914545934338314,0.10448733305121134,0.3613069072252262,0.3851241710358281,0.12667820602424784,0.012643610450419507,0.0003732672766819656,3.18084529571383e-06,7.677949831474962e-09,5.180855744413293e-12
47,3.0,4.0,1.0,5.8654632226630794e-05,0.001276717048942515,0.014249230535285292,0.08010367880352917,0.22774139150051442,0.32839763686501144,0.2404344996620884,0.08929569539103821,0.016777028655012516,0.0015882443498024257,7.541354708584525e-05,1.7878136440163672e-06
48,3.0,5.0,0.0,1.0756545682444262e-07,1.536990362064644e-05,0.0008096196938684151,0.015866402465903724,0.11723782658587636,0.3307832477063968,0.3593273012796886,0.1503905519587787,0.024079359506234854,0.0014570635040400681,3.287573296895108e-05,2.7326750540179745e-07
49,3.0,5.0,1.0,4.9113672147396683e-08,7.50419903734351e-06,0.0004356780516790202,0.009688388024314288,0.08352108227026941,0.28244446466910644,0.37789230438437427,0.2004911010406254,0.04197656463102817,0.003433193944580859,0.00010835913727491597,1.3045900029151625e-06
50,3.0,6.0,0.0,9.294979157398768e-10,2.525406879555354e-07,2.67396986859617e-05,0.0011109103801162162,0.01829265745330937,0.12071844090829989,0.3225462357020686,0.3512043354134344,0.15593464410299662,0.028076564743362176,0.0020302486685847,5.8308318901523215e-05
51,3.0,6.0,1.0,1.336265465375622e-07,7.438571253909095e-06,0.00021820006043514278,0.003353718345081846,0.027110609922725175,0.115678394920798,0.2613079785722869,0.31307799985696,0.19904061949192664,0.06707355340762333,0.01195205210085526,0.0011224974336693228
52,3.0,7.0,0.0,6.37628481649772e-12,2.9764586885907316e-09,5.721555075226825e-07,4.551286679331724e-05,0.0015091022440456674,0.021038186347427705,0.12444725322933473,0.31491459489854506,0.3426516150741516,0.16039184064348122,0.03216036651942489,0.0027410637482141453
53,3.0,7.0,1.0,3.555813472514593e-10,5.343327981692744e-08,3.981830107414105e-06,0.0001472223965617904,0.0027125006307955448,0.02502072457108303,0.11607746839870636,0.27188194741832244,0.3222930314018748,0.19345621409747638,0.05871093496571822,0.008979769160040618
54,3.0,8.0,0.0,1.2490810165391356e-13,6.954003381315938e-11,1.7444647146526143e-08,1.977889183326472e-06,0.00010184766595862721,0.002395661944140747,0.025908990427806432,0.12968252361554533,0.3020997776400358,0.3286566199987714,0.16703764475475802,0.03955052324136277
55,3.0,8.0,1.0,9.73400906286175e-09,3.596769375919689e-07,8.764343889717907e-06,0.00013857514585317448,0.0014232917722081058,0.009506500608495137,0.04133410570227139,0.11709557870532952,0.21627782788740235,0.2605598232205002,0.20477853511443944,0.10497082675179858
56,3.0,9.0,0.0,1.0366434815067425e-17,2.033891598956577e-14,1.7007598256126532e-11,6.079553481601457e-09,9.328766232002137e-07,6.177571239638415e-05,0.0017771047811657322,0.022378054974020994,0.1243359984346468,0.3069425559382793,0.33813409706710934,0.16630623479267748
57,3.0,9.0,1.0,4.53991696014932e-15,1.965096467600584e-12,4.4532303625319946e-10,5.288505465031419e-08,3.2997161112179158e-06,0.00010849586099020322,0.0018862997526953953,0.01740306403616083,0.08550195262942023,0.2243702739515031,0.31513126103880856,0.23707880853567853
58,3.0,10.0,0.0,5.945792015969327e-25,1.287472158930439e-20,1.0079818820287592e-16,2.8609166971495854e-13,2.9543704276170327e-10,1.1155268291528083e-07,1.5505427337327256e-05,0.000800557687365826,0.015529505642466624,0.11466136145991543,0.32621554279626996,0.36051495353362245
59,3.0,10.0,1.0,1.2386225030231646e-10,5.2117434407963426e-09,1.548885601085779e-07,3.2007006098642117e-06,4.601944838295657e-05,0.00046067288579361584,0.0032127535232476605,0.01561918769946016,0.0529628467535363,0.12531782368661354,0.20698095918883752,0.23867851564369036
60,4.0,1.0,0.0,0.021442830763335308,0.8760080625423133,0.10254653853192941,2.5681624198359287e-06,2.1094237467877974e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,4.0,1.0,1.0,2.682440913473709e-05,0.9986177331360588,0.0013554424548064548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,4.0,2.0,0.0,0.0011021881520073297,0.07897157455118611,0.5194320183261079,0.37234457506982255,0.02796796216866415,0.00018159323127353577,8.849791721665667e-08,3.0212499169124385e-12,0.0,0.0,0.0,0.0
63,4.0,2.0,1.0,2.1172816881681124e-13,0.0023388674903119006,0.9418552483603303,0.05580588322385904,9.252870691867088e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,4.0,3.0,0.0,0.0001128532179647444,0.007147232432523384,0.10782829263117738,0.40258823986358305,0.38354611194837107,0.09311912371096476,0.00557878306243198,7.91064258103269e-05,2.565213073069117e-07,1.8583634631141877e-10,2.964295475749168e-14,0.0
65,4.0,3.0,1.0,5.378694003068295e-07,0.0010059923569471958,0.09590621932252341,0.5908817083313604,0.3008589792916916,0.011322804284979227,2.3756179036271696e-05,2.364051177039528e-09,1.0436096431476471e-14,0.0,0.0,0.0
66,4.0,4.0,0.0,6.436198340161719e-06,0.0005231570033443325,0.013864825206336804,0.12161668937012382,0.35981243796908824,0.3635434022596126,0.1254555905624004,0.014607250045585274,0.000563130083450547,7.053009767221674e-06,2.8256139872340214e-08,3.579647689377907e-11
67,4.0,4.0,1.0,2.049185997688131e-05,0.0008953233915461231,0.015643194639980557,0.10953666605075689,0.31056686919625903,0.3589836952430872,0.16934341970553735,0.03243442272271957,0.002498439404112318,7.655021806662887e-05,9.23215391468446e-07,4.344636317377137e-09
68,4.0,5.0,0.0,1.8995969746873244e-07,2.307943984195655e-05,0.0010615548560401504,0.018634589799922444,0.12640818591858102,0.3352104469820419,0.35003263711423316,0.14397928626218737,0.023172521429300486,0.0014428719644701271,3.4326724292932376e-05,3.085101625277531e-07
69,4.0,5.0,1.0,7.628643076448453e-23,5.887383123437025e-15,7.238112217372074e-09,0.00014909152181455761,0.05851778252103773,0.627400570029053,0.308318704098152,0.005611589050710908,2.25552512078675e-06,1.5992873692027842e-11,0.0,0.0
70,4.0,6.0,0.0,2.69666491499427e-09,5.586943815787379e-07,4.69344078016823e-05,0.0016080161438083078,0.02267647987579964,0.13293224455422814,0.326779633469376,0.3386686416504371,0.14800936469417503,0.02714160571921731,0.002070606559271271,6.507256863008681e-05
