,Yards Gained,3 secs,4 secs,5 secs,6 secs,7 secs,8 secs,9 secs,10 secs,11 secs,12 secs,13 secs,14 secs,15 secs,16 secs,17 secs,18 secs,19 secs,20 secs,21 secs,22 secs
0,36.0,0.004829081364681558,0.01193903373902554,0.03135060229128574,0.06672868466754363,0.11513159920408989,0.16103137584975274,0.1825879605047649,0.1678355070852411,0.12506698182300302,0.07555067604030563,0.036995897150939316,0.014684671499622048,0.004724328400846467,0.0012318140753251328,0.00026027867780975544,4.456308440592416e-05,6.181679955252761e-06,6.946740971347509e-07,6.323328327617617e-08,0.999999995045978
1,40.0,0.00852070777926336,0.016608181790625162,0.03791489321496469,0.07226002923126724,0.11497430775235296,0.15273127140272086,0.1693892629445234,0.15684722167738252,0.12125484983518175,0.07826130161035405,0.04217072993870119,0.01897046522457657,0.007124113528349962,0.002233312828998746,0.000584401154114067,0.00012764081377203418,2.3267886833933105e-05,3.5398356689197996e-06,4.4940335719445557e-07,0.9999999478530086
2,48.0,0.004453021268883052,0.009990329160678667,0.025236051108501988,0.053104011952820995,0.09309234059419536,0.13595457366313124,0.1654152522526534,0.1676731911400755,0.1415984074050961,0.09962214623006038,0.05839130842571294,0.028511713212141743,0.01159752753633514,0.003929661425439601,0.0011090977710620509,0.00026072574154600847,5.104687660650864e-05,8.323293250622754e-06,1.1301333772140154e-06,0.9999998591915685
3,50.0,0.0013491955593509326,0.004302888765385305,0.013755220140201327,0.03548732147765636,0.0738941522393583,0.12419505941543241,0.16849031247214685,0.1845156568498465,0.16311074585303487,0.11639072867324729,0.06703910048576767,0.03116677379560906,0.011694512460884599,0.00354131949098635,0.0008653683532924283,0.00017062586253435708,2.7142345435104964e-05,3.4830184494349936e-06,3.605077812940394e-07,0.9999999677664004
4,39.0,0.0032503506374736905,0.010104947384858558,0.03027324941674296,0.07059404710831399,0.12814722190633826,0.18109947621175426,0.19925657410403919,0.17068734675901154,0.11383450354968938,0.05910257597218227,0.02388695350187864,0.00751425674869044,0.0018395846430867557,0.0003504206987816616,5.1929686418095145e-05,5.985648574791114e-06,5.365195736573014e-07,3.7389137674814776e-08,2.0253333454789413e-09,0.9999999999118792
5,33.0,0.00868800718102018,0.01635414158788398,0.036758330626943864,0.06946617704419768,0.110380586709238,0.1474764273361025,0.16567950002341802,0.15650689695321596,0.12431273098414397,0.08302533864992756,0.04662413730171633,0.022014308353172196,0.008739353207154132,0.0029168669494054056,0.000818460015748812,0.00019306337672775342,3.828246248216427e-05,6.380746705225704e-06,8.93896874409883e-07,0.9999998834060781
6,20.0,9.865876450376946e-10,3.167025524547483e-05,0.022718460706346075,0.4772498680518208,0.4772498680518208,0.02271846070634609,3.1670255245419554e-05,9.865870342906646e-10,6.661338147750939e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,49.0,0.0015775465382704865,0.004584294998654006,0.013861529326991414,0.03435623103898189,0.06980409250142573,0.11626727040453422,0.15876330255946886,0.17773297379773406,0.1631227274453878,0.12274024306883624,0.07571416371984385,0.03828872002596939,0.015872620475002486,0.005393689116800715,0.0015022889796135752,0.0003429398911386494,6.415677917381846e-05,9.8352900150811e-06,1.2354052993934772e-06,0.9999998613631417
8,30.0,0.01847549350908522,0.022996825174401256,0.04210637057989527,0.06817508007517564,0.09761233511119355,0.12359115858842973,0.13838065644633002,0.13701541568812015,0.11996912004933036,0.09289120368105497,0.06360379406011829,0.03851165467429396,0.02062047453928406,0.009763336607759965,0.004087766231259615,0.0015134091322647203,0.0004954533857329801,0.00014342286746116262,3.6710944000817314e-05,0.9999896813451917
9,37.0,0.00518723560516137,0.012052885828934531,0.030643577085973046,0.06390931436891102,0.10934169888725392,0.15346871405485718,0.1767161082031946,0.16693938491900062,0.12937971598885956,0.08226040458618655,0.042906161533350584,0.01835837245766092,0.006443336885643247,0.0018549041188254956,0.00043795925783984835,8.48030739393213e-05,1.346530074297636e-05,1.7530953205779909e-06,1.8712701843615065e-07,0.9999999823786738
